id,segment,segment_name,polarity,topic_id,topic_name,topic_name_raw,product,review,review_translation,rating,sentiment
S1_EN_T1_001,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Wireless Earbuds,Grabbed these at the lowest price on Amazon and honestly the quality blew me away. No reason to spend twice as much on a brand name.,아마존에서 최저가로 건졌는데 퀄리티가 진짜 말이 안 되게 좋아요. 브랜드 제품에 두 배 쓸 이유가 없네요.,4.0,긍정
S1_EN_T1_002,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Power Bank,Caught a lightning deal and got 40% off the regular price. Plenty of capacity for the money — genuinely one of my best purchases this year.,타임세일 잡아서 정가 대비 40% 할인받았어요. 이 돈에 이 용량이면 올해 쇼핑 중에 제일 잘 산 거예요.,4.0,긍정
S1_EN_T1_003,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Bluetooth Speaker,"Was skeptical at this price point but it arrived way better than expected. Out of everything with similar specs, this was the cheapest by far.",이 가격에 반신반의했는데 받아보니 생각보다 훨씬 낫네요. 비슷한 스펙 제품 중에 여기가 단연 제일 쌌어요.,3.5,중립
S1_EN_T1_004,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,USB Hub,A 7-port hub for under fifteen bucks? Other brands with the same specs were charging double. Glad I went with this one.,"15달러도 안 되는 가격에 7포트 허브라고요? 같은 스펙 다른 브랜드는 두 배 받던데, 여기서 사길 잘했어요.",4.0,긍정
S1_EN_T1_005,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Portable SSD,Got the flash sale notification and bought instantly. 256GB at this price honestly feels like they're selling it at cost.,플래시세일 알림 뜨자마자 바로 질렀어요. 이 가격에 256GB면 진짜 원가에 파는 거 아닌가 싶어요.,4.0,긍정
S1_EN_T1_006,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Smart Bulb,The 3-pack bundle came out to nearly half the price of buying individually. Highly recommend for anyone who prioritizes value.,3개 묶음 세트가 낱개로 사는 것보다 거의 반값이에요. 가성비 중시하시는 분들께 강력 추천합니다.,3.5,중립
S1_EN_T1_007,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Wireless Mouse,Was going back and forth between this and a brand-name model but this was literally half the price. Honestly can't tell the difference in daily use.,브랜드 제품이랑 한참 고민했는데 이쪽이 딱 절반 가격이에요. 솔직히 일상 사용에서 차이를 모르겠어요.,3.5,중립
S1_EN_T1_008,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Webcam,Needed something fast when I started working from home and this had the best image quality in this price range. Worth every penny.,재택 시작하면서 급하게 찾았는데 이 가격대에서 화질이 제일 낫더라고요. 돈값 충분히 해요.,3.5,중립
S1_EN_T1_009,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Wireless Charger,"Official chargers are ridiculously overpriced so I went looking for an alternative. Same charging speed, one third of the cost.",정품 충전기가 너무 비싸서 대체품 찾아봤어요. 충전 속도 똑같은데 가격은 1/3이에요.,4.0,긍정
S1_EN_T1_010,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Mechanical Keyboard,Found this while hunting for a budget entry-level board and couldn't believe it's full-size at this price. Typing feel is surprisingly decent too.,입문용 저가형 찾다 발견했는데 이 가격에 풀배열이라니 믿기지 않았어요. 타건감도 생각보다 꽤 괜찮아요.,3.5,중립
